职位名,学历要求,工作年限,公司名,公司地址,薪资,岗位描述
python开发工程师（项目奖金）,大专,不限,深圳市深为软件技术有限公司,深圳市福田区车公庙财富广场A座17楼,6千-8千,1.计算机相关专业毕业，大专及以上学历；2.有OpenStack、Ceph等开源项目开发经验者优先。3.精通Shell/Python/C/C++编程；4.熟悉Apache/Nginx/uWSGI/Django/WebSocket等。1.负责公司云计算产品WEB平台的设计、研发；2.负责公司云计算产品高可用WEB服务的设计、性能优化；3.参与OpenStackHorizon、Ceph等社区项目的研发。
急招:Python爬虫开发助理/包住,不限,不限,深圳市创联测试技术有限公司,深圳市福田区竹子林地铁站益华大厦A栋8楼,3.5千-7千,岗位职责：1、协助设计、开发、维护爬虫系统及数据抓取；2、收集竞争对手数据并分析优劣势；3、参与新平台开发；4、协助编写接口。任职要求：1、大专以上学历，理工科专业优先，条件优秀者可释放放宽；2、喜欢互联网，愿意与公司一起发展；3、责任心强、团队合作意识，良好的沟通能力、思路清晰、学习能力。公司福利1、5天7小时制，六险一金；2、每周三、周五下午茶福利；3、法定节假日有对应节假日福利；4、一年一次国内游，一次国外游；5、年终奖丰厚，转正员工至少1个月工资；6、18、19届实习生或储备技术人才岗有300/月的餐补，可向公司申请免费住宿。
python开发工程师,大专,不限,深圳市深为软件技术有限公司,深圳市福田区车公庙财富广场A座17楼,6千-8千,1、熟练使用python语言进行开发，熟悉django框架2、熟练使用开源前台技术框架，常用的JS框架（如Jquery、Ext-Js等）；3、熟练使用Oracle/Mysql数据库；能够独立完成功能性SQL、存储过程的开发；4、熟悉Linux，能够使用基本shell命令；5、态度端正，有较强的学习能力和团队协作意识；责任心强，能承受一定的工作压力；
Python开发助理/包住/高绩效,大专,不限,深圳市创联测试技术有限公司,深圳市宝安区坪洲地铁站财富港大厦801,3.5千-7千,1、配合市场推广进行工具类软件开发；2、协助进行系统安全测试；3、参与公司人工智能产品研发。任职要求1、大专及以上学历；2、有一门编程语言，Python或Java优先；3、有过爬虫项目经验为佳，有一定的逻辑思维能力；4、愿意沟通，能融入团队，稳定；5、富有激情，公司需要新鲜血液。
急招:Python开发助理/爬虫方向/包住,不限,不限,深圳市创联测试技术有限公司,深圳市福田区竹子林地铁站益华大厦A栋8楼,3.5千-7千,岗位职责：1、协助设计、开发、维护爬虫系统及数据抓取；2、收集竞争对手数据并分析优劣势；3、参与新平台开发；4、协助编写接口。任职要求：1、大专以上学历，理工科专业优先，条件优秀者可释放放宽；2、喜欢互联网，愿意与公司一起发展，3、责任心强、团队合作意识，良好的沟通能力、思路清晰、学习能力。公司福利1、5天7小时制，六险一金；2、每周三、周五下午茶福利；3、法定节假日有对应节假日福利；4、一年一次国内游，一次国外游；5、年终奖丰厚，转正员工至少1个月工资；；6、18、19届实习生或储备技术人才岗有300/月的餐补，可向公司申请免费住宿。
Python 前端/爬虫/数据采集/包住,不限,不限,深圳市创联测试技术有限公司,深圳市南山区科技园大冲商务中心C座20楼,3.5千-7千,岗位职责：1、协助设计、开发、维护爬虫系统及数据抓取；2、收集竞争对手数据并分析优劣势；；3、参与新平台开发；；4、协助编写接口。任职要求：1、大专以上学历，理工科专业优先，条件优秀者可释放放宽；2、喜欢互联网，愿意与公司一起发展；3、责任心强、团队合作意识，良好的沟通能力、思路清晰、学习能力。公司福利1、5天7小时制，六险一金；2、每周三、周五下午茶福利；3、法定节假日有对应节假日福利；4、一年一次国内游，一次国外游；5、年终奖丰厚，转正员工至少1个月工资；6、18、19届实习生或储备技术人才岗有300/月的餐补，可向公司申请免费住宿。
python + 助理岗/开发方向-爬虫,不限,不限,深圳市创联测试技术有限公司,深圳市宝安区固戍地铁站固戍二路105号腾耀大厦8楼,3.5千-7千,岗位职责：1、协助设计、开发、维护爬虫系统及数据抓取；2、收集竞争对手数据并分析优劣势；3、参与新平台开发；；4、协助编写接口。任职要求：1、大专以上学历，理工科专业优先，条件优秀者可释放放宽；2、喜欢互联网，愿意与公司一起发展；3、责任心强、团队合作意识，良好的沟通能力、思路清晰、学习能力。公司福利1、5天7小时制，六险一金；2、每周三、周五下午茶福利；3、法定节假日有对应节假日福利；4、一年一次国内游，一次国外游；5、年终奖丰厚，转正员工至少1个月工资；6、18、19届实习生或储备技术人才岗有300/月的餐补，可向公司申请免费住宿。
python开发+项目奖金,大专,不限,深圳市克乐科技有限公司,深圳市罗湖区嘉宾路太平洋商贸大厦B座,6千-8千,岗位职责：1、录入网站站点；2、编写Python初级代码；3、其他领导交给的任务；4、负责物联网应用系统开发、算法实现。任职要求：1.计算机科学、软件工程相关专业优先考虑；2.熟悉Java或Python，了解C/C++语言；3.了解linux系统以及基本的命令；4.了解网络通信技术，了解常用的网络协议；5.了解数据结构，有使用算法解决实际问题经验优先。薪资待遇：1、薪资在3000-5000之间；2、朝九晚六，周六周天双休，法定节假日正常休息；3、薪资体系：底薪（无责任）+补助+绩效奖金+项目提成（转正薪资基本在5000以上/月）；4、带薪休假（年假，婚假，丧假，病假，培训假）。
初级python开发工程师/双休,大专,不限,深圳市克乐科技有限公司,深圳市罗湖区嘉宾路太平洋商贸大厦B座,6千-8千,岗位职责：1、遵守开发流程和编程规范，根据项目需求，实现应用程序设计、编码和调试；2、编制软件开发过程相关技术文档。任职要求：1.18岁-28岁，对IT行业有着浓厚的兴趣2.毕业生亦可，做事踏实、悟性高、学习能力强、积极向上。3.会基本的计算机操作，良好的逻辑思维。4.良好的沟通能力，较强的服务意识。福利待遇：1、享受法定节假日，朝九晚六，周末双休；2、五险一金、团队活动、生日会、下午茶及丰厚福利待遇；3、高速成长的个人发展机会，积极进取的企业文化，与公司共同成长的挑战；4、公司工作环境优雅、氛围好，同事关系融洽，定期举行生日派对、聚餐等丰富活动。
python软件开发实习4k起+双休,大专,不限,深圳智联慧通技术有限公司,深圳市福田区竹子林益华大厦南710,6千-8千,"【任职要求】：1、大专及以上学历，计算机（网络)、电子信息、软件工程、（电气）自动化、测控、生仪、机电、数学或英语等专业。2、有计算机语言基础者优先，如：C语言、Java、.Net、PHP等；【职业背景】人工智能+Python——目前国内大学还没有开设人工智能专业，这既是挑战，又是机遇。一名入门级的AI工程师月薪轻松就可以拿到15K，中、高级工程师，企业更是给出30万到150万的年薪；Python非常适合AI开发，它更接近自然语言，编程简单,速度超快，它能够把各种模块很轻松地联结在一起,开发人员不必重复造轮子，像搭积木一样就可以完成绝大部分工作，非常适合初学编程者。未来５０年都将是人工智能的天下，人工智能时代才刚刚拉开帷幕，现在加入，四年后，当第一期AI大学生进入这一领域时，你已经年薪百万，已经是他们的总监、CEO了。【福利待遇】：①科学合理的绩效考核体系以及具有竞争优势的薪酬制度！②为员工购买五险一金，让员工无后顾之忧！③人性化的培训管理制度、一对一的指定帮助让员工快速融入新环境并成长！④五天八小时工作制、周末双休、法定节假日之外的带薪病假、年休假，让员工与家人共享美好生活！提供完善的新员工阶段入职培训！【入职流程】：①.有基础-企业直通车（面试通过，直接上岗）②.无基础-学习能力考核-师傅带教（1-4个月）-分配岗位（4K-8K）"
python工程师,大专,不限,深圳市深为软件技术有限公司,深圳市福田区车公庙财富广场A座17楼,6千-8千,大专及以上学历，可以接受毕业生，可接受有意愿跨行者熟悉python语言以及开发运维工具学习能力强，思维灵敏，有团队合作意识对IT行业充满热情，工作细致认真并富有耐心；
